Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type
DRA12,11.6,Low Fat,Soft Drinks
DRA24,19.35,Regular,Soft Drinks
DRA59,8.27,Regular,Soft Drinks
DRB01,7.39,Low Fat,Soft Drinks
DRB13,6.115,Regular,Soft Drinks
DRB24,8.785,Low Fat,Soft Drinks
DRB25,12.3,Low Fat,Soft Drinks
DRB48,16.75,Regular,Soft Drinks
DRC01,5.92,Regular,Soft Drinks
DRC12,17.85,Low Fat,Soft Drinks
DRC13,8.26,Regular,Soft Drinks
DRC24,17.85,Low Fat,Soft Drinks
DRC25,5.73,Low Fat,Soft Drinks
DRC27,13.8,Low Fat,Dairy
DRC36,13.0,Regular,Soft Drinks
DRC49,8.67,Low Fat,Soft Drinks
DRD01,12.1,Regular,Soft Drinks
DRD12,6.96,Low Fat,Soft Drinks
DRD13,15.0,Low Fat,Soft Drinks
DRD15,10.6,Low Fat,Dairy
DRD24,13.85,Low Fat,Soft Drinks
DRD25,6.135,Low Fat,Soft Drinks
DRD27,18.75,Low Fat,Dairy
DRD37,9.8,Low Fat,Soft Drinks
DRD49,9.895,Low Fat,Soft Drinks
DRD60,15.7,Low Fat,Soft Drinks
DRE01,10.1,Low Fat,Soft Drinks
DRE03,19.6,Low Fat,Dairy
DRE12,4.59,Low Fat,Soft Drinks
DRE13,6.28,Low Fat,Soft Drinks
DRE15,13.35,Low Fat,Dairy
DRE25,15.35,Low Fat,Soft Drinks
DRE27,11.85,Low Fat,Dairy
DRE37,13.5,Low Fat,Soft Drinks
DRE48,8.43,Low Fat,Soft Drinks
DRE49,20.75,Low Fat,Soft Drinks
DRE60,9.395,Low Fat,Soft Drinks
DRF01,5.655,Low Fat,Soft Drinks
DRF03,19.1,Low Fat,Dairy
DRF13,12.1,Low Fat,Soft Drinks
DRF15,18.35,Low Fat,Dairy
DRF23,4.61,Low Fat,Hard Drinks
DRF25,9.0,Low Fat,Soft Drinks
DRF27,8.93,Low Fat,Dairy
DRF36,16.1,Low Fat,Soft Drinks
DRF37,17.25,Low Fat,Soft Drinks
DRF48,5.73,Low Fat,Soft Drinks
DRF49,7.27,Low Fat,Soft Drinks
DRF51,15.75,Low Fat,Dairy
DRF60,10.8,Low Fat,Soft Drinks
DRG01,14.8,Low Fat,Soft Drinks
DRG03,14.5,Low Fat,Dairy
DRG11,6.385,Low Fat,Hard Drinks
DRG13,17.25,Low Fat,Soft Drinks
DRG15,6.13,Low Fat,Dairy
DRG23,8.88,Low Fat,Hard Drinks
DRG25,10.5,Low Fat,Soft Drinks
DRG27,8.895,Low Fat,Dairy
DRG36,14.15,Low Fat,Soft Drinks
DRG37,16.2,Low Fat,Soft Drinks
DRG39,14.15,Low Fat,Dairy
DRG48,5.78,Low Fat,Soft Drinks
DRG49,7.81,Low Fat,Soft Drinks
DRG51,12.1,Low Fat,Dairy
DRH01,17.5,Low Fat,Soft Drinks
DRH03,17.25,Low Fat,Dairy
DRH11,5.98,Low Fat,Hard Drinks
DRH13,8.575,Low Fat,Soft Drinks
DRH15,8.775,Low Fat,Dairy
DRH23,14.65,Low Fat,Hard Drinks
DRH25,18.7,Low Fat,Soft Drinks
DRH36,16.2,Low Fat,Soft Drinks
DRH37,17.6,Low Fat,Soft Drinks
DRH39,20.7,Low Fat,Dairy
DRH49,19.7,Low Fat,Soft Drinks
DRH51,17.6,Low Fat,Dairy
DRH59,10.8,Low Fat,Hard Drinks
DRI01,7.97,Low Fat,Soft Drinks
DRI03,6.03,Low Fat,Dairy
DRI11,8.26,Low Fat,Hard Drinks
DRI13,15.35,Low Fat,Soft Drinks
DRI23,18.85,Low Fat,Hard Drinks
DRI25,19.6,Low Fat,Soft Drinks
DRI37,15.85,Low Fat,Soft Drinks
DRI39,13.8,Low Fat,Dairy
DRI47,14.7,Low Fat,Hard Drinks
DRI49,14.15,Low Fat,Soft Drinks
DRI51,17.25,Low Fat,Dairy
DRI59,9.5,Low Fat,Hard Drinks
DRJ01,6.135,Low Fat,Soft Drinks
DRJ11,9.5,Low Fat,Hard Drinks
DRJ13,12.65,Low Fat,Soft Drinks
DRJ23,18.35,Low Fat,Hard Drinks
DRJ24,11.8,Low Fat,Soft Drinks
DRJ25,14.6,Low Fat,Soft Drinks
DRJ35,10.1,Low Fat,Hard Drinks
DRJ37,10.8,Low Fat,Soft Drinks
DRJ39,20.25,Low Fat,Dairy
DRJ47,18.25,Low Fat,Hard Drinks
DRJ49,6.865,Low Fat,Soft Drinks
DRJ51,14.1,Low Fat,Dairy
DRJ59,11.65,Low Fat,Hard Drinks
DRK01,7.63,Low Fat,Soft Drinks
DRK11,8.21,Low Fat,Hard Drinks
DRK12,9.5,Low Fat,Soft Drinks
DRK13,11.8,Low Fat,Soft Drinks
DRK23,8.395,Low Fat,Hard Drinks
DRK35,8.365,Low Fat,Hard Drinks
DRK37,5.0,Low Fat,Soft Drinks
DRK39,7.02,Low Fat,Dairy
DRK47,7.905,Low Fat,Hard Drinks
DRK49,14.15,Low Fat,Soft Drinks
DRK59,8.895,Low Fat,Hard Drinks
DRL01,19.5,Regular,Soft Drinks
DRL11,10.5,Low Fat,Hard Drinks
DRL23,18.35,Low Fat,Hard Drinks
DRL35,15.7,Low Fat,Hard Drinks
DRL37,15.5,Low Fat,Soft Drinks
DRL47,19.7,Low Fat,Hard Drinks
DRL49,13.15,Low Fat,Soft Drinks
DRL59,16.75,Low Fat,Hard Drinks
DRL60,8.52,Low Fat,Soft Drinks
DRM11,6.57,Low Fat,Hard Drinks
DRM23,16.6,Low Fat,Hard Drinks
DRM35,9.695,Low Fat,Hard Drinks
DRM37,15.35,Low Fat,Soft Drinks
DRM47,9.3,Low Fat,Hard Drinks
DRM48,15.2,Low Fat,Soft Drinks
DRM49,6.11,Regular,Soft Drinks
DRM59,5.88,Low Fat,Hard Drinks
DRN11,7.85,Low Fat,Hard Drinks
DRN35,8.01,Low Fat,Hard Drinks
DRN36,15.2,Low Fat,Soft Drinks
DRN37,9.6,Low Fat,Soft Drinks
DRN47,12.1,Low Fat,Hard Drinks
DRN59,15.0,Low Fat,Hard Drinks
DRO35,13.85,Low Fat,Hard Drinks
DRO47,10.195,Low Fat,Hard Drinks
DRO59,11.8,Low Fat,Hard Drinks
DRP35,18.85,Low Fat,Hard Drinks
DRP47,15.75,Low Fat,Hard Drinks
DRQ35,9.3,Low Fat,Hard Drinks
DRY23,9.395,Regular,Soft Drinks
DRZ11,8.85,Regular,Soft Drinks
DRZ24,7.535,Low Fat,Soft Drinks
FDA01,15.0,Regular,Canned
FDA02,14.0,Regular,Dairy
FDA03,18.5,Regular,Dairy
FDA04,11.3,Regular,Frozen Foods
FDA07,7.55,Regular,Fruits and Vegetables
FDA08,11.85,Regular,Fruits and Vegetables
FDA09,13.35,Regular,Snack Foods
FDA10,20.35,Low Fat,Snack Foods
FDA11,7.75,Low Fat,Baking Goods
FDA13,15.85,Low Fat,Canned
FDA14,16.1,Low Fat,Dairy
FDA15,9.3,Low Fat,Dairy
FDA16,6.695,Low Fat,Frozen Foods
FDA19,7.52,Low Fat,Fruits and Vegetables
FDA20,6.78,Low Fat,Fruits and Vegetables
FDA21,13.65,Low Fat,Snack Foods
FDA22,7.435,Low Fat,Starchy Foods
FDA23,9.8,Low Fat,Baking Goods
FDA25,16.5,Regular,Canned
FDA26,7.855,Regular,Dairy
FDA27,20.35,Regular,Dairy
FDA28,16.1,Regular,Frozen Foods
FDA31,7.1,Low Fat,Fruits and Vegetables
FDA32,14.0,Low Fat,Fruits and Vegetables
FDA33,6.48,Low Fat,Snack Foods
FDA34,11.5,Low Fat,Starchy Foods
FDA35,14.85,Regular,Baking Goods
FDA36,5.985,Low Fat,Baking Goods
FDA37,7.81,Regular,Canned
FDA38,5.44,Low Fat,Dairy
FDA39,6.32,Low Fat,Meat
FDA40,16.0,Regular,Frozen Foods
FDA43,10.895,Low Fat,Fruits and Vegetables
FDA44,19.7,Low Fat,Fruits and Vegetables
FDA45,21.25,Low Fat,Snack Foods
FDA46,13.6,Low Fat,Snack Foods
FDA47,10.5,Regular,Baking Goods
FDA48,12.1,Low Fat,Baking Goods
FDA49,19.7,Low Fat,Canned
FDA50,16.25,Low Fat,Dairy
FDA51,8.05,Regular,Dairy
FDA52,16.2,Regular,Frozen Foods
FDA55,17.2,Regular,Fruits and Vegetables
FDA56,9.21,Low Fat,Fruits and Vegetables
FDA57,18.85,Low Fat,Snack Foods
FDA58,9.395,Low Fat,Snack Foods
FDB02,9.695,Regular,Canned
FDB03,17.75,Regular,Dairy
FDB04,11.35,Regular,Dairy
FDB05,5.155,Low Fat,Frozen Foods
FDB08,6.055,Low Fat,Fruits and Vegetables
FDB09,16.25,Low Fat,Fruits and Vegetables
FDB10,10.0,Low Fat,Snack Foods
FDB11,16.0,Low Fat,Starchy Foods
FDB12,11.15,Regular,Baking Goods
FDB14,20.25,Regular,Canned
FDB15,10.895,Low Fat,Dairy
FDB16,8.21,Low Fat,Dairy
FDB17,13.15,Low Fat,Frozen Foods
FDB20,7.72,Low Fat,Fruits and Vegetables
FDB21,7.475,Low Fat,Fruits and Vegetables
FDB22,8.02,Low Fat,Snack Foods
FDB23,19.2,Regular,Starchy Foods
FDB26,14.0,Regular,Canned
FDB27,7.575,Low Fat,Dairy
FDB28,6.615,Low Fat,Dairy
FDB29,16.7,Regular,Frozen Foods
FDB32,20.6,Low Fat,Fruits and Vegetables
FDB33,17.75,Low Fat,Fruits and Vegetables
FDB34,15.25,Low Fat,Snack Foods
FDB35,12.3,Regular,Starchy Foods
FDB36,5.465,Regular,Baking Goods
FDB37,20.25,Regular,Baking Goods
FDB38,19.5,Regular,Canned
FDB39,11.6,Low Fat,Dairy
FDB40,17.5,Regular,Dairy
FDB41,19.0,Regular,Frozen Foods
FDB44,6.655,Low Fat,Fruits and Vegetables
FDB45,20.85,Low Fat,Fruits and Vegetables
FDB46,10.5,Regular,Snack Foods
FDB47,8.8,Low Fat,Snack Foods
FDB49,8.3,Regular,Baking Goods
FDB50,13.0,Low Fat,Canned
FDB51,6.92,Low Fat,Dairy
FDB52,17.75,Low Fat,Dairy
FDB53,13.35,Low Fat,Frozen Foods
FDB56,8.75,Regular,Fruits and Vegetables
FDB57,20.25,Regular,Fruits and Vegetables
FDB58,10.5,Regular,Snack Foods
FDB59,18.25,Low Fat,Snack Foods
FDB60,9.3,Low Fat,Baking Goods
FDC02,21.35,Low Fat,Canned
FDC03,8.575,Regular,Dairy
FDC04,15.6,Low Fat,Dairy
FDC05,13.1,Regular,Frozen Foods
FDC08,19.0,Regular,Fruits and Vegetables
FDC09,15.5,Regular,Fruits and Vegetables
FDC10,9.8,Regular,Snack Foods
FDC11,20.5,Low Fat,Starchy Foods
FDC14,14.5,Regular,Canned
FDC15,18.1,Low Fat,Dairy
FDC16,11.5,Regular,Dairy
FDC17,12.15,Low Fat,Frozen Foods
FDC20,10.65,Low Fat,Fruits and Vegetables
FDC21,14.6,Regular,Fruits and Vegetables
FDC22,6.89,Regular,Snack Foods
FDC23,18.0,Low Fat,Starchy Foods
FDC26,10.195,Low Fat,Canned
FDC28,7.905,Low Fat,Frozen Foods
FDC29,8.39,Regular,Frozen Foods
FDC32,18.35,Low Fat,Fruits and Vegetables
FDC33,8.96,Regular,Fruits and Vegetables
FDC34,16.0,Regular,Snack Foods
FDC35,7.435,Low Fat,Starchy Foods
FDC37,15.5,Low Fat,Baking Goods
FDC38,15.7,Low Fat,Canned
FDC39,7.405,Low Fat,Dairy
FDC40,16.0,Regular,Dairy
FDC41,15.6,Low Fat,Frozen Foods
FDC44,15.6,Low Fat,Fruits and Vegetables
FDC45,17.0,Low Fat,Fruits and Vegetables
FDC46,17.7,Low Fat,Snack Foods
FDC47,15.0,Low Fat,Snack Foods
FDC48,9.195,Low Fat,Baking Goods
FDC50,15.85,Low Fat,Canned
FDC51,10.895,Regular,Dairy
FDC52,11.15,Regular,Dairy
FDC53,8.68,Low Fat,Frozen Foods
FDC56,7.72,Low Fat,Fruits and Vegetables
FDC57,20.1,Regular,Fruits and Vegetables
FDC58,10.195,Low Fat,Snack Foods
FDC59,16.7,Regular,Starchy Foods
FDC60,5.425,Regular,Baking Goods
FDD02,16.6,Low Fat,Canned
FDD03,13.3,Low Fat,Dairy
FDD04,16.0,Low Fat,Dairy
FDD05,19.35,Low Fat,Frozen Foods
FDD08,8.3,Low Fat,Fruits and Vegetables
FDD09,13.5,Low Fat,Fruits and Vegetables
FDD10,20.6,Regular,Snack Foods
FDD11,12.85,Low Fat,Starchy Foods
FDD14,20.7,Low Fat,Canned
FDD16,20.5,Low Fat,Frozen Foods
FDD17,7.5,Low Fat,Frozen Foods
FDD20,14.15,Low Fat,Fruits and Vegetables
FDD21,10.3,Regular,Fruits and Vegetables
FDD22,10.0,Low Fat,Snack Foods
FDD23,9.5,Regular,Starchy Foods
FDD26,8.71,Regular,Canned
FDD28,10.695,Low Fat,Frozen Foods
FDD29,12.15,Low Fat,Frozen Foods
FDD32,17.7,Regular,Fruits and Vegetables
FDD33,12.85,Low Fat,Fruits and Vegetables
FDD34,7.945,Low Fat,Snack Foods
FDD35,12.15,Low Fat,Starchy Foods
FDD36,13.3,Low Fat,Baking Goods
FDD38,16.75,Regular,Canned
FDD39,16.7,Low Fat,Dairy
FDD40,20.25,Regular,Dairy
FDD41,6.765,Regular,Frozen Foods
FDD44,8.05,Regular,Fruits and Vegetables
FDD45,8.615,Low Fat,Fruits and Vegetables
FDD46,6.035,Low Fat,Snack Foods
FDD47,7.6,Regular,Starchy Foods
FDD48,10.395,Low Fat,Baking Goods
FDD50,18.85,Low Fat,Canned
FDD51,11.15,Low Fat,Dairy
FDD52,18.25,Regular,Dairy
FDD53,16.2,Low Fat,Frozen Foods
FDD56,15.2,Regular,Fruits and Vegetables
FDD57,18.1,Low Fat,Fruits and Vegetables
FDD58,7.76,Low Fat,Snack Foods
FDD59,10.5,Regular,Starchy Foods
FDE02,8.71,Low Fat,Canned
FDE04,19.75,Regular,Frozen Foods
FDE05,10.895,Regular,Frozen Foods
FDE08,18.2,Low Fat,Fruits and Vegetables
FDE09,8.775,Low Fat,Fruits and Vegetables
FDE10,6.67,Regular,Snack Foods
FDE11,17.7,Regular,Starchy Foods
FDE14,13.65,Regular,Canned
FDE16,8.895,Low Fat,Frozen Foods
FDE17,20.1,Regular,Frozen Foods
FDE20,11.35,Regular,Fruits and Vegetables
FDE21,12.8,Low Fat,Fruits and Vegetables
FDE22,9.695,Low Fat,Snack Foods
FDE23,17.6,Regular,Starchy Foods
FDE24,14.85,Low Fat,Baking Goods
FDE26,9.3,Low Fat,Canned
FDE28,9.5,Regular,Frozen Foods
FDE29,8.905,Low Fat,Frozen Foods
FDE32,20.7,Low Fat,Fruits and Vegetables
FDE33,19.35,Regular,Fruits and Vegetables
FDE34,9.195,Low Fat,Snack Foods
FDE35,7.06,Regular,Starchy Foods
FDE36,5.26,Regular,Baking Goods
FDE38,6.52,Low Fat,Canned
FDE39,7.89,Low Fat,Dairy
FDE40,15.6,Regular,Dairy
FDE41,9.195,Regular,Frozen Foods
FDE44,14.65,Low Fat,Fruits and Vegetables
FDE45,12.1,Low Fat,Fruits and Vegetables
FDE46,18.6,Low Fat,Snack Foods
FDE47,14.15,Low Fat,Starchy Foods
FDE50,19.7,Regular,Canned
FDE51,5.925,Regular,Dairy
FDE52,,Regular,Dairy
FDE53,10.895,Low Fat,Frozen Foods
FDE56,17.25,Regular,Fruits and Vegetables
FDE57,9.6,Low Fat,Fruits and Vegetables
FDE58,18.5,Low Fat,Snack Foods
FDE59,12.15,Low Fat,Starchy Foods
FDF02,16.2,Low Fat,Canned
FDF04,17.5,Low Fat,Frozen Foods
FDF05,17.5,Low Fat,Frozen Foods
FDF08,14.3,Regular,Fruits and Vegetables
FDF09,6.215,Low Fat,Fruits and Vegetables
FDF10,15.5,Regular,Snack Foods
FDF11,10.195,Regular,Starchy Foods
FDF12,8.235,Low Fat,Baking Goods
FDF14,7.55,Low Fat,Canned
FDF16,7.3,Low Fat,Frozen Foods
FDF17,5.19,Low Fat,Frozen Foods
FDF20,12.85,Low Fat,Fruits and Vegetables
FDF21,10.3,Regular,Fruits and Vegetables
FDF22,6.865,Low Fat,Snack Foods
FDF24,15.5,Regular,Baking Goods
FDF26,6.825,Regular,Canned
FDF28,15.7,Regular,Frozen Foods
FDF29,15.1,Regular,Frozen Foods
FDF32,16.35,Low Fat,Fruits and Vegetables
FDF33,7.97,Low Fat,Seafood
FDF34,9.3,Regular,Snack Foods
FDF35,15.0,Low Fat,Starchy Foods
FDF38,11.8,Regular,Canned
FDF39,14.85,Regular,Dairy
FDF40,20.25,Regular,Dairy
FDF41,12.15,Low Fat,Frozen Foods
FDF44,7.17,Regular,Fruits and Vegetables
FDF45,18.2,Regular,Fruits and Vegetables
FDF46,7.07,Low Fat,Snack Foods
FDF47,20.85,Low Fat,Starchy Foods
FDF50,4.905,Low Fat,Canned
FDF52,9.3,Low Fat,Frozen Foods
FDF53,20.75,Regular,Frozen Foods
FDF56,16.7,Regular,Fruits and Vegetables
FDF57,14.5,Regular,Fruits and Vegetables
FDF58,13.3,Low Fat,Snack Foods
FDF59,12.5,Low Fat,Starchy Foods
FDG02,7.855,Low Fat,Canned
FDG04,13.1,Low Fat,Frozen Foods
FDG05,11.0,Regular,Frozen Foods
FDG08,13.15,Regular,Fruits and Vegetables
FDG09,20.6,Regular,Fruits and Vegetables
FDG10,6.63,Regular,Snack Foods
FDG12,6.635,Regular,Baking Goods
FDG14,9.0,Regular,Canned
FDG16,15.25,Low Fat,Frozen Foods
FDG17,6.865,Regular,Frozen Foods
FDG20,15.5,Regular,Fruits and Vegetables
FDG21,17.35,Regular,Seafood
FDG22,17.6,Regular,Snack Foods
FDG24,7.975,Low Fat,Baking Goods
FDG26,18.85,Low Fat,Canned
FDG28,9.285,Regular,Frozen Foods
FDG29,17.6,Low Fat,Frozen Foods
FDG31,12.15,Low Fat,Meat
FDG32,19.85,Low Fat,Fruits and Vegetables
FDG33,5.365,Regular,Seafood
FDG34,11.5,Regular,Snack Foods
FDG35,21.2,Regular,Starchy Foods
FDG38,8.975,Regular,Canned
FDG40,13.65,Low Fat,Frozen Foods
FDG41,8.84,Regular,Frozen Foods
FDG44,6.13,Low Fat,Fruits and Vegetables
FDG45,8.1,Low Fat,Fruits and Vegetables
FDG46,8.63,Regular,Snack Foods
FDG47,12.8,Low Fat,Starchy Foods
FDG50,7.405,Low Fat,Canned
FDG52,13.65,Low Fat,Frozen Foods
FDG53,10.0,Low Fat,Frozen Foods
FDG56,13.3,Regular,Fruits and Vegetables
FDG57,14.7,Low Fat,Fruits and Vegetables
FDG58,10.695,Regular,Snack Foods
FDG59,15.85,Low Fat,Starchy Foods
FDG60,20.35,Low Fat,Baking Goods
FDH02,7.27,Regular,Canned
FDH04,6.115,Regular,Frozen Foods
FDH05,14.35,Regular,Frozen Foods
FDH08,7.51,Low Fat,Fruits and Vegetables
FDH09,12.6,Low Fat,Seafood
FDH10,21.0,Low Fat,Snack Foods
FDH12,9.6,Low Fat,Baking Goods
FDH14,17.1,Regular,Canned
FDH16,10.5,Low Fat,Frozen Foods
FDH17,16.2,Regular,Frozen Foods
FDH19,19.35,Low Fat,Meat
FDH20,16.1,Regular,Fruits and Vegetables
FDH21,10.395,Low Fat,Seafood
FDH22,6.405,Low Fat,Snack Foods
FDH24,20.7,Low Fat,Baking Goods
FDH26,19.25,Regular,Canned
FDH27,7.075,Low Fat,Dairy
FDH28,15.85,Regular,Frozen Foods
FDH31,12.0,Regular,Meat
FDH32,12.8,Low Fat,Fruits and Vegetables
FDH33,12.85,Low Fat,Snack Foods
FDH34,8.63,Low Fat,Snack Foods
FDH35,18.25,Low Fat,Starchy Foods
FDH38,6.425,Low Fat,Canned
FDH40,11.6,Regular,Frozen Foods
FDH41,9.0,Low Fat,Frozen Foods
FDH44,19.1,Regular,Fruits and Vegetables
FDH45,15.1,Regular,Fruits and Vegetables
FDH46,6.935,Regular,Snack Foods
FDH47,13.5,Regular,Starchy Foods
FDH48,13.5,Low Fat,Baking Goods
FDH50,15.0,Regular,Canned
FDH52,9.42,Regular,Frozen Foods
FDH53,20.5,Regular,Frozen Foods
FDH56,9.8,Regular,Fruits and Vegetables
FDH57,10.895,Low Fat,Fruits and Vegetables
FDH58,12.3,Low Fat,Snack Foods
FDH60,19.7,Regular,Baking Goods
FDI02,15.7,Regular,Canned
FDI04,13.65,Regular,Frozen Foods
FDI05,8.35,Regular,Frozen Foods
FDI07,12.35,Regular,Meat
FDI08,18.2,Regular,Fruits and Vegetables
FDI09,20.75,Regular,Seafood
FDI10,8.51,Regular,Snack Foods
FDI12,9.395,Regular,Baking Goods
FDI14,14.1,Low Fat,Canned
FDI15,13.8,Low Fat,Dairy
FDI16,14.0,Regular,Frozen Foods
FDI19,15.1,Low Fat,Meat
FDI20,19.1,Low Fat,Fruits and Vegetables
FDI21,5.59,Regular,Snack Foods
FDI22,12.6,Low Fat,Snack Foods
FDI24,10.3,Low Fat,Baking Goods
FDI26,5.94,Low Fat,Canned
FDI27,8.71,Regular,Dairy
FDI28,14.3,Low Fat,Frozen Foods
FDI32,17.7,Low Fat,Fruits and Vegetables
FDI33,16.5,Low Fat,Snack Foods
FDI34,10.65,Regular,Snack Foods
FDI35,14.0,Low Fat,Starchy Foods
FDI36,12.5,Regular,Baking Goods
FDI38,13.35,Regular,Canned
FDI40,11.5,Regular,Frozen Foods
FDI41,18.5,Regular,Frozen Foods
FDI44,16.1,Low Fat,Fruits and Vegetables
FDI45,13.1,Low Fat,Fruits and Vegetables
FDI46,9.5,Low Fat,Snack Foods
FDI48,11.85,Regular,Baking Goods
FDI50,8.42,Regular,Canned
FDI52,18.7,Low Fat,Frozen Foods
FDI53,8.895,Regular,Frozen Foods
FDI56,7.325,Low Fat,Fruits and Vegetables
FDI57,19.85,Low Fat,Seafood
FDI58,7.64,Regular,Snack Foods
FDI60,7.22,Regular,Baking Goods
FDJ02,17.2,Regular,Canned
FDJ03,12.35,Regular,Dairy
FDJ04,18.0,Low Fat,Frozen Foods
FDJ07,7.26,Low Fat,Meat
FDJ08,11.1,Low Fat,Fruits and Vegetables
FDJ09,15.0,Low Fat,Snack Foods
FDJ10,5.095,Regular,Snack Foods
FDJ12,8.895,Regular,Baking Goods
FDJ14,10.3,Regular,Canned
